Word,Pronunciation,Definition,HSK Level
布局,bù jú,arrangement; composition; layout; opening (chess jargon),6
不堪,bù kān,cannot bear; cannot stand; utterly; extremely,6
不可思议,bù kě sī yì,inconceivable (idiom); unimaginable; unfathomable,6
不客气,bú kè qi,you're welcome; impolite; rude; blunt; don't mention it,1
不愧,bú kuì,be worthy of; deserve to be called; prove oneself to be,6
不料,bú liào,unexpectedly; to one's surprise,6
部门,bù mén,department; branch; section; division; CL:個|个[ge4],5
不免,bù miǎn,unavoidable,5
不耐烦,bú nài fán,impatience; impatient,5
不然,bù rán,not so; no; or else; otherwise; if not,5
不如,bù rú,not equal to; not as good as; inferior to; it would be better to,5
不时,bù shí,frequently; often; at any time,6
部署,bù shǔ,to dispose; to deploy; deployment,6
部位,bù wèi,position; place,6
不惜,bù xī,not stint; not spare; not hesitate (to do sth); not scruple (to do sth),6
不相上下,bù xiāng shàng xià,equally matched; about the same,6
不像话,bú xiàng huà,unreasonable; shocking; outrageous,6
不屑一顾,bú xiè yī gù,to disdain as beneath contempt,6
不言而喻,bù yán ér yù,it goes without saying; it is self-evident,6
不要紧,bú yào jǐn,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,5
不由得,bù yóu de,can't help; cannot but,6
不择手段,bù zé shǒu duàn,by fair means or foul; by hook or by crook; unscrupulously,6
不止,bù zhǐ,incessantly; without end; more than; not limited to,6
布置,bù zhì,to put in order; to arrange; to decorate; to fix up; to deploy,6
步骤,bù zhòu,step; move; measure,5
不足,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,5
擦,cā,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,4
猜,cāi,to guess,4
才,cái,ability; talent; endowment; gift; an expert; only (then); only if; just,3
财产,cái chǎn,property; CL:筆|笔[bi3],5
裁缝,cái feng,tailor; dressmaker,6
财富,cái fù,wealth; riches,6
才干,cái gàn,ability; competence,6
材料,cái liào,"material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]",4
裁判,cái pàn,"judgment; to referee; umpire; judge; referee; CL:個|个[ge4],位[wei4],名[ming2]",6
财务,cái wù,financial affairs,6
裁员,cái yuán,to cut staff; to lay off employees,6
财政,cái zhèng,finances (public); financial,6
踩,cǎi,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),5
采访,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,5
采购,cǎi gòu,to procure (for an enterprise etc); to purchase,6
彩虹,cǎi hóng,rainbow,5
采集,cǎi jí,to gather; to collect; to harvest,6
采纳,cǎi nà,to accept; to adopt,6
彩票,cǎi piào,the lottery; lottery ticket,6
采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",5
菜,cài,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",1
菜单,cài dān,"menu; CL:份[fen4],張|张[zhang1]",3
参观,cān guān,to look around; to inspect; visit and observe,4
参加,cān jiā,to participate; to take part; to join,3
参考,cān kǎo,consultation; reference; to consult; to refer,5
参谋,cān móu,staff officer; give advice,6
餐厅,cān tīng,"dining-hall; dining-room; restaurant; CL:間|间[jian1],家[jia1]",5
参与,cān yù,to participate (in sth),5
参照,cān zhào,to consult a reference; to refer to (another document),6
残疾,cán jí,disabled; handicapped; deformity on a person or animal,5
残酷,cán kù,cruel; cruelty,6
惭愧,cán kuì,ashamed,5
残留,cán liú,to remain; left over; surplus; remnant,6
残忍,cán rěn,cruel; mean; merciless; ruthless,6
灿烂,càn làn,to glitter; brilliant; splendid,6
舱,cāng,cabin; the hold of a ship or airplane,6
苍白,cāng bái,pale; wan,6
仓促,cāng cù,all of a sudden; hurriedly,6
仓库,cāng kù,depot; storehouse; warehouse,6
操场,cāo chǎng,playground; sports field; drill ground; CL:個|个[ge4],5
操劳,cāo láo,to work hard; to look after,6
操练,cāo liàn,drill; practice,6
操心,cāo xīn,to worry about,5
操纵,cāo zòng,to operate; to control; to rig; to manipulate,6
操作,cāo zuò,to work; to operate; to manipulate,6
嘈杂,cáo zá,noisy; clamorous,6
草,cǎo,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]",3
草案,cǎo àn,"draft (legislation, proposal etc)",6
草率,cǎo shuài,careless; negligent; sloppy; not serious,6
册,cè,book; booklet; classifier for books,5
策划,cè huà,to plot; to scheme; to bring about; to engineer; planning; producer; planner,6
测量,cè liáng,survey; to measure; to gauge; to determine,6
策略,cè lüè,tactics; to be tactful,6
侧面,cè miàn,lateral side; side; aspect; profile,6
厕所,cè suǒ,"toilet; lavatory; CL:間|间[jian1],處|处[chu4]",5
测验,cè yàn,"test; to test; CL:次[ci4],個|个[ge4]",5
层,céng,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),3
层出不穷,céng chū bù qióng,more and more emerge; innumerable succession; breeding like flies (idiom),6
层次,céng cì,arrangement of ideas; administrative level; level; stage; phase,6
曾经,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),5
插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,5
差别,chā bié,difference; distinction; diversity; disparity,5
差距,chā jù,disparity; gap,6
叉子,chā zi,fork; CL:把[ba3],5
茶,chá,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",1
查获,chá huò,to investigate and capture (a criminal); to ferret out; to hunt down and arrest,6
岔,chà,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)",6
差,chà,differ from; short of; to lack; poor,3
差不多,chà bu duō,almost; nearly; more or less,4
刹那,chà nà,an instant (Sanskrit: ksana); split second; the twinkling of an eye,6
诧异,chà yì,flabbergasted; astonished,6
拆,chāi,to tear open; to tear down; to tear apart; to open,5
柴油,chái yóu,diesel fuel,6
搀,chān,to assist by the arm; to mix; to support; to sustain,6
馋,chán,slander; defame; misrepresent; to speak maliciously,6
缠绕,chán rào,twisting; to twine; to wind; to pester; to bother,6
产品,chǎn pǐn,goods; merchandise; product; CL:個|个[ge4],5
产生,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,5
阐述,chǎn shù,to expound (a position); to elaborate (on a topic); to treat (a subject),6
产业,chǎn yè,industry; estate; property; industrial,6
颤抖,chàn dǒu,to shudder; to shiver; to shake; to tremble,6
猖狂,chāng kuáng,savage; furious,6
昌盛,chāng shèng,prosperous,6
尝,cháng,to taste; flavor; (past tense marker); already; formerly; ever; once; test,4
长,cháng,length; long; forever; always; constantly,2
长城,Cháng chéng,the Great Wall,4
偿还,cháng huán,to repay; to reimburse,6
长江,Cháng jiāng,Changjiang river; Yangtze river,4
常年,cháng nián,a whole year; average year,6
常识,cháng shí,common sense; general knowledge; CL:門|门[men2],5
尝试,cháng shì,to try; to attempt; CL:次[ci4],6
长途,cháng tú,long distance,5
常务,cháng wù,routine; everyday business; daily operation (of a company),6
场,chǎng,"threshing floor; classifier for events and happenings: spell, episode, bout",6
场合,chǎng hé,situation; occasion,6
敞开,chǎng kāi,wide open; to open up,6
场面,chǎng miàn,scene; occasion,6
场所,chǎng suǒ,location; place,6
